Game;Year;Genre;Publisher;North America;Europe;Japan;Rest of World;Global
The Elder Scrolls Online;2015;MMO;Bethesda Softworks;0.74;0.98;0;0.33;2.05
Middle-Earth: Shadow of War;2017;Action;Warner Bros. Interactive Entertainment;0.82;0.84;0.06;0.33;2.04
Dragon Quest XI;2017;Role-Playing;Square Enix;0.29;0.22;1.43;0.1;2.04
Rocket League;2016;Sports;505 Games;0.37;1.34;0;0.31;2.02
Just Cause 3;2015;Action-Adventure;Square Enix;0.53;1.07;0.09;0.3;1.98
Dishonored 2;2016;Action;Bethesda Softworks;0.62;1.02;0.01;0.31;1.97
Lego Marvel Super Heroes;2013;Action;Warner Bros. Interactive Entertainment;0.59;1;0.01;0.3;1.91
Until Dawn;2015;Adventure;Sony Computer Entertainment;0.62;0.92;0.06;0.3;1.9
Knack;2013;Platform;Sony Computer Entertainment;0.45;0.77;0.42;0.23;1.88
The Evil Within;2014;Action;Bethesda Softworks;0.56;0.9;0.11;0.28;1.86
The Crew;2014;Racing;Ubisoft;0.44;1.04;0.03;0.27;1.79
Kingdom Hearts 1.5 + 2.5 Remix;2017;Role-Playing;Square Enix;0.75;0.51;0.23;0.26;1.75
For Honor;2017;Action;Ubisoft;0.73;0.66;0.07;0.28;1.75
Titanfall 2;2016;Shooter;Electronic Arts;0.75;0.62;0.06;0.28;1.72
Injustice 2;2017;Fighting;Warner Bros. Interactive Entertainment;0.88;0.54;0;0.29;1.72
NieR Automata;2017;Role-Playing;Square Enix;0.56;0.51;0.42;0.22;1.71
Tekken 7;2017;Fighting;Namco Bandai Games;0.6;0.72;0.12;0.26;1.7
Persona 5;2016;Role-Playing;Deep Silver;0.62;0.34;0.48;0.2;1.64
The Order: 1886;2015;Shooter;Sony Computer Entertainment;0.44;0.86;0.07;0.25;1.62
Wolfenstein: The New Order;2014;Shooter;Bethesda Softworks;0.48;0.84;0.03;0.25;1.61
Detroit: Become Human;2018;Adventure;Sony Interactive Entertainment;0.55;0.67;0.12;0.24;1.57
Naruto Shippuden: Ultimate Ninja Storm 4;2016;Fighting;Namco Bandai Games;0.71;0.47;0.12;0.24;1.54
NBA 2K14;2013;Sports;2K Sports;0.91;0.35;0.01;0.27;1.54
Tomb Raider (2013);2014;Action-Adventure;Square Enix;0.47;0.74;0.06;0.23;1.51
Dragon Ball: Xenoverse 2;2016;Action;Namco Bandai Games;0.54;0.59;0.14;0.23;1.5
Rayman Legends;2014;Platform;Ubisoft;0.22;1.05;0;0.23;1.5
Mass Effect: Andromeda;2017;Role-Playing;Electronic Arts;0.58;0.67;0;0.25;1.49
Dragon Ball Fighter Z;2018;Fighting;Namco Bandai Games;0.61;0.51;0.12;0.23;1.46
South Park: The Fractured But Whole;2017;Role-Playing;Ubisoft;0.62;0.57;0;0.24;1.43
The Sims 4;2017;Simulation;Electronic Arts;0.44;0.72;0.01;0.22;1.39
Street Fighter V;2016;Fighting;Capcom;0.64;0.42;0.12;0.22;1.39
Wolfenstein II: The New Colossus;2017;Shooter;Bethesda Softworks;0.55;0.58;0.01;0.22;1.36
WWE 2K18;2017;Sports;2K Sports;0.45;0.67;0;0.22;1.33
Lego Star Wars: The Force Awakens;2016;Action-Adventure;Warner Bros. Interactive Entertainment;0.3;0.78;0.02;0.2;1.31
EA Sports UFC 2;2016;Sports;EA Sports;0.44;0.65;0;0.21;1.31
The Last Guardian;2016;Action-Adventure;Sony Interactive Entertainment;0.4;0.58;0.13;0.19;1.29
WWE 2K16;2015;Sports;Take-Two Interactive;0.43;0.65;0;0.21;1.29
Borderlands: The Handsome Collection;2015;Shooter;2K Games;0.69;0.34;0.03;0.22;1.28
Project CARS;2015;Racing;Bandai Namco Games;0.29;0.76;0.04;0.19;1.28
WWE 2K17;2016;Sports;2K Games;0.32;0.7;0;0.19;1.22
Guitar Hero Live;2015;Music;Activision;0.52;0.49;0;0.2;1.21
Metal Gear Solid: Ground Zeroes;2014;Action-Adventure;Konami Digital Entertainment;0.36;0.5;0.17;0.17;1.2
Mad Max (2013);2015;Action;Warner Bros. Interactive Entertainment;0.38;0.59;0.05;0.19;1.2
Shadow of the Colossus;2018;Action-Adventure;Sony Interactive Entertainment;0.44;0.52;0.05;0.19;1.2
Kingdom Hearts HD 2.8 Final Chapter Prologue;2017;Role-Playing;Square Enix;0.57;0.25;0.2;0.17;1.2
Dragon Ball: XenoVerse;2015;Fighting;Namco Bandai Games;0.33;0.55;0.14;0.17;1.19
LEGO Dimensions;2015;Action;Warner Bros. Interactive Entertainment;0.48;0.5;0;0.2;1.18
LEGO Jurassic World;2015;Action;Warner Bros. Interactive Entertainment;0.41;0.56;0.02;0.19;1.18
WWE 2K15;2014;Sports;2K Sports;0.4;0.57;0;0.19;1.16
MLB The Show 17;2017;Sports;Sony Interactive Entertainment;0.94;0;0;0.22;1.16
LEGO Worlds;2017;Misc;Warner Bros. Interactive Entertainment;0.21;0.72;0.04;0.17;1.14
The Elder Scrolls V: Skyrim PSVR;2017;Role-Playing;Bethesda Softworks;0.47;0.47;0.01;0.19;1.13
LEGO Marvel Super Heroes 2;2017;Action;Warner Bros. Interactive Entertainment;0.33;0.6;0;0.18;1.11
EA Sports UFC;2014;Fighting;Electronic Arts;0.49;0.43;0.01;0.18;1.11
Final Fantasy XII: The Zodiac Age;2017;Role-Playing;Square Enix;0.37;0.41;0.16;0.15;1.1
Alien: Isolation;2014;Adventure;Sega;0.29;0.59;0.05;0.16;1.09
MLB The Show 18;2018;Sports;Sony Interactive Entertainment;0.86;0;0;0.2;1.06
The Evil Within II;2017;Action;Bethesda Softworks;0.31;0.49;0.09;0.15;1.05
Prey (2017);2017;Shooter;Bethesda Softworks;0.25;0.62;0.02;0.16;1.04
Final Fantasy Type-0;2015;Role-Playing;Square Enix;0.4;0.33;0.16;0.15;1.04
Ni-Oh;2017;Action;Tecmo Koei;0.34;0.36;0.2;0.14;1.03
MLB 15: The Show;2015;Sports;Sony Computer Entertainment;0.75;0.08;0;0.19;1.01
Steep;2016;Sports;Ubisoft;0.23;0.6;0.02;0.15;1.01
LEGO Marvel's Avengers;2016;Action;Warner Bros. Interactive Entertainment;0.31;0.53;0.01;0.16;1.01
Evolve;2015;Shooter;2K Games;0.38;0.41;0.05;0.16;1.01
Injustice: Gods Among Us;2013;Fighting;Warner Bros. Interactive Entertainment;0.46;0.35;0;0.17;0.98
EA Sports UFC 3;2018;Sports;EA Sports;0.4;0.41;0.01;0.16;0.97
Madden NFL 25;2013;Sports;EA Sports;0.64;0.15;0;0.17;0.96
MLB 16: The Show;2016;Sports;Sony Computer Entertainment;0.78;0;0;0.18;0.96
Lego Batman 3: Beyond Gotham;2014;Action;Warner Bros. Interactive Entertainment;0.37;0.42;0;0.16;0.94
Final Fantasy X/X-2 HD Remaster;2015;Role-Playing;Square Enix;0.34;0.36;0.07;0.14;0.9
Ni no Kuni II: Revenant Kingdom;2018;Role-Playing;Namco Bandai Games;0.33;0.31;0.12;0.13;0.89
God of War III;2015;Action;Sony Computer Entertainment;0.4;0.33;0.02;0.15;0.89
Fortnite;2017;Action;Gearbox Software;0.42;0.32;0;0.15;0.89
LEGO Harry Potter Collection;2016;Action;Warner Bros. Interactive Entertainment;0.07;0.68;0;0.13;0.88
Minecraft: Story Mode;2015;Adventure;Mojang;0.31;0.42;0;0.14;0.87
BioShock The Collection;2016;Shooter;2K Games;0.41;0.28;0.03;0.14;0.86
Thief 4;2014;Action;Square Enix;0.28;0.41;0.03;0.13;0.85
Until Dawn: Rush of Blood;2016;Shooter;Sony Interactive Entertainment;0.5;0.21;0;0.15;0.85
Disney Infinity 3.0;2015;Action;Disney Interactive Studios;0.31;0.4;0;0.14;0.85
Farming Simulator 17;2016;Simulation;Focus Home Interactive;0.19;0.52;0.01;0.13;0.85
The Crew 2;2018;Racing;Ubisoft;0.22;0.42;0.05;0.12;0.82
Pro Evolution Soccer 2016;2015;Sports;Konami Digital Entertainment;0.14;0.43;0.14;0.1;0.82
ARK: Survival Evolved;2017;Action;Studio Wildcard;0.28;0.29;0.14;0.11;0.81
Dragon Quest Heroes: The World's Tree Woe and the Blight Below;2015;Action;Square Enix;0.21;0.14;0.39;0.07;0.81
Assassin's Creed The Ezio Collection;2016;Action;Ubisoft;0.14;0.52;0.02;0.12;0.79
Final Fantasy XIV: A Realm Reborn;2014;MMO;Square Enix;0.35;0.23;0.08;0.12;0.79
Destiny: The Collection;2016;Shooter;Activision;0.24;0.4;0.02;0.12;0.78
F1 2016 (Codemasters);2016;Racing;Codemasters;0.07;0.56;0.03;0.11;0.78
Hitman (2016);2017;Action;Square Enix;0.24;0.36;0.06;0.11;0.78
Pro Evolution Soccer 2015;2014;Sports;Konami Digital Entertainment;0.09;0.45;0.12;0.1;0.76
LEGO City Undercover;2017;Platform;Warner Bros. Interactive Entertainment;0.17;0.46;0.01;0.12;0.75
Pro Evolution Soccer 2018;2017;Sports;Konami Digital Entertainment;0.12;0.36;0.19;0.09;0.75
Disney Infinity 2.0: Marvel Super Heroes;2014;Action-Adventure;Disney Interactive Studios;0.37;0.25;0;0.13;0.75
Pro Evolution Soccer 2017;2016;Sports;Konami Digital Entertainment;0.08;0.41;0.18;0.09;0.75
Sniper Elite 3;2014;Shooter;505 Games;0.25;0.37;0;0.12;0.74
MLB 14 The Show;2014;Sports;Sony Computer Entertainment;0.59;0;0;0.14;0.73
WipEout Omega Collection;2017;Racing;Sony Interactive Entertainment;0.12;0.49;0;0.11;0.72
Deus Ex: Mankind Divided;2016;Role-Playing;Square Enix;0.25;0.34;0.01;0.12;0.72
The LEGO Movie Videogame;2014;Action-Adventure;Warner Bros. Interactive Entertainment;0.26;0.32;0.01;0.11;0.71
Marvel vs. Capcom: Infinite;2017;Fighting;Capcom;0.36;0.19;0.04;0.11;0.7
Dark Souls II;2015;Role-Playing;Namco Bandai Games;0.27;0.23;0.09;0.1;0.69
Yakuza 6;2016;Adventure;Sega;0.16;0.1;0.38;0.05;0.69
F1 2015;2015;Racing;Codemasters;0.1;0.45;0.04;0.1;0.68
METRO 2033;2014;Shooter;Deep Silver;0.22;0.31;0.05;0.1;0.68
Rocksmith 2014;2014;Music;Ubisoft;0.38;0.17;0;0.12;0.67
NHL 16;2015;Sports;EA Sports;0.38;0.16;0;0.12;0.66
Plants vs Zombies: Garden Warfare;2014;Shooter;Electronic Arts;0.24;0.3;0.01;0.11;0.66
Tales of Berseria;2016;Role-Playing;Namco Bandai Games;0.22;0.1;0.26;0.07;0.65
Yakuza Zero: The Place of Oath;2015;Adventure;Sega;0.22;0.16;0.19;0.08;0.65
One Piece: Burning Blood;2016;Fighting;Namco Bandai Games;0.21;0.26;0.09;0.09;0.65
Batman: Return to Arkham;2016;Action;Warner Bros. Interactive Entertainment;0.15;0.39;0.01;0.1;0.64
Plants vs. Zombies: Garden Warfare 2;2016;Shooter;Electronic Arts;0.22;0.31;0;0.1;0.63
